"Fecha","CO (mg/m3)","NO (ug/m3)","NO2 (ug/m3)","O3 (ug/m3)","PM10 (ug/m3)","PM25 (ug/m3)","SO2 (ug/m3)","Provincia","Estación"
"10/2019","","2","5","52","11","","2","Avila","Avila II"
"10/2019","","5","15","43","20","","3","Burgos","Aranda de Duero 2"
"10/2019","0,2","6","18","","17","","1","Burgos","Burgos1"
"10/2019","","4","10","54","9","4","4","Burgos","Burgos4"
"10/2019","","2","3","56","","","3","Burgos","Medina de Pomar"
"10/2019","","6","16","","21","","3","Burgos","Miranda de Ebro1"
"10/2019","","5","14","46","16","","2","Burgos","Miranda de Ebro2"
"10/2019","","2","12","","11","","7","León","C.T.Compostilla-Compostilla"
"10/2019","","2","7","48","10","","5","León","C.T.Compostilla-Congosto"
"10/2019","","2","5","47","11","","1","León","C.T.Compostilla-Cortiguera"
"10/2019","","4","3","","9","","2","León","C.T.Compostilla-Santa Marina"
"10/2019","","2","10","","11","","3","León","C.T.Compostilla-Villaverde"
"10/2019","","2","10","45","9","","3","León","C.T.L.R. - Cuadros"
"10/2019","","1","4","","7","","4","León","C.T.L.R. - Naredo"
"10/2019","","1","4","44","7","","6","León","C.T.L.R. - Ventosilla"
"10/2019","","3","7","29","13","","4","León","Carracedelo"
"10/2019","","2","6","52","13","","11","León","La Robla"
"10/2019","","1","2","52","","","2","León","Lario"
"10/2019","","3","14","41","10","","4","León","Leon 4"
"10/2019","0,4","15","25","","18","","7","León","Leon1"
"10/2019","","","","","13","","1","León","Otero"
"10/2019","","2","8","40","16","","1","León","Ponferrada4"
"10/2019","","","","","17","","","León","Toral de los Vados"
"10/2019","","1","4","","14","","2","León","Tudela Veguin-Tudela Veguin"
"10/2019","","2","2","35","5","3","1","Palencia","C.T.G. - Compuerto"
"10/2019","","2","2","34","8","4","2","Palencia","C.T.G. - Villalba"
"10/2019","","5","6","52","11","","7","Palencia","Guardo"
"10/2019","","8","8","38","14","","6","Palencia","Hontoria 1 - Poblado"
"10/2019","","5","9","48","10","","3","Palencia","Hontoria 2 - Venta de Baños"
"10/2019","","7","8","46","15","","5","Palencia","Palencia 3"
"10/2019","","10","22","37","","","","Palencia","Renault4"
"10/2019","","1","3","77","19","","2","Salamanca","El Maillo"
"10/2019","0,7","4","4","","13","","4","Salamanca","Salamanca5"
"10/2019","","4","9","45","16","5","2","Salamanca","Salamanca6"
"10/2019","","2","11","57","14","","3","Segovia","Segovia 2"
"10/2019","","1","2","44","13","","3","Soria","Muriel de la Fuente"
"10/2019","0,4","16","20","44","11","","3","Soria","Soria"
"10/2019","0,5","23","29","","15","12","","Valladolid","Arco de ladrillo II"
"10/2019","","20","26","","17","14","7","Valladolid","La rubia II"
"10/2019","","5","13","47","27","","6","Valladolid","Medina del Campo"
"10/2019","","7","19","36","","","","Valladolid","Michelin1"
"10/2019","","3","15","41","","","","Valladolid","Michelin2"
"10/2019","","13","25","36","14","8","","Valladolid","Puente Poniente-Mº Luisa Sánchez"
"10/2019","","7","14","36","","","","Valladolid","Renault1"
"10/2019","0,2","16","23","","12","","","Valladolid","Renault2"
"10/2019","","9","18","","15","","","Valladolid","Renault3"
"10/2019","","10","21","38","","","","Valladolid","VALLADOLID SUR"
"10/2019","","13","14","38","15","10","","Valladolid","Vega Sicilia"
"10/2019","","7","11","47","12","","2","Zamora","Zamora 2"
"11/2019","","2","3","60","8","","2","Avila","Avila II"
"11/2019","","4","10","50","12","","3","Burgos","Aranda de Duero 2"
"11/2019","0,3","2","14","","9","","1","Burgos","Burgos1"
