NIVEL ASISTENCIAL;TIPO DE RECURSO;ENTIDAD / DEPENDENCIA INSTITUCIONAL;E-MAIL;TELÉFONO;TELÉFONO 2;FAX;DIRECCIÓN;C. POSTAL;LOCALIDAD;PROVINCIA;LATITUD;LONGITUD;posicion;provincia_abreviado
Primer Nivel;Centro de Referencia para Información de la Administración de Justicia;CONSEJO COMARCAL DEL BIERZO;cad@ccbierzo.com;987411300;;987411300;Avenida Monte Medulio, s/n;24404;Ponferrada;León;42.5603334;-6.6009666;42.5603334,-6.6009666;LE
Primer Nivel;Centro de Referencia para Información de la Administración de Justicia;CRUZ ROJA ESPAÑOLA;cadsoria@cruzroja.es;975214561;;975214561;Calle San Benito,19;42001;Soria;Soria;41.7652081;-2.4729136;41.7652081,-2.4729136;SO
Primer Nivel;SEPN Servicio específico de Primer Nivel para Alcohólicos;"ARBU
Asociación de Alcohólicos Rehabilitados de Burgos";arbu00@hotmail.com;947241924;;947210765;Plaza del  Orfeón Burgalés, 7 bajo;06006;Burgos;Burgos;42.3433425274073;-3.70072477294949;42.3433425274073,-3.70072477294949;BU
Primer Nivel;SEPN Servicio específico de Primer Nivel para Alcohólicos;"ARBA
Asociación de Alcohólicos Rehabilitados de La Bañeza";correoarba@hotmail.com;987655293;;;Calle Ángel Riesco, 2 1ª planta Hogar del Jubilado;24750;La Bañeza;León;42.2984313045682;-5.89687147295056;42.2984313045682,-5.89687147295056;LE
Primer Nivel;SEPN Servicio específico de Primer Nivel para Alcohólicos;BEDA-BERGIDUM Exdependientes Asociados;tramitesbeda@gmail.com;987423578;;987427592;Avenida Libertad, 31, bajo;24400;Ponferrada;León;42.5541443712522;-6.59807467479915;42.5541443712522,-6.59807467479915;LE
Primer Nivel;SEPN Servicio específico de Primer Nivel para Alcohólicos;"ARMABI
Asociación de Alcohólicos Rehabilitados Maragatería y Bierzo";marcosdelriovictorino@yahoo.es;650573903;;;Plaza de los Marqueses de Astorga nº 9;24700;Astorga;León;42.455728;-6.059729;42.455728,-6.059729;LE
Primer Nivel;SEPN Servicio específico de Primer Nivel para Alcohólicos;"ARPA 
Asociación de Alcohólicos Rehabilitados de Palencia";arpapalencia@hotmail.es;"979751008
979728958";646246642;;Avenida San Telmo, 12  bajo;34004;Palencia;Palencia;41.9960821;-4.5199752;41.9960821,-4.5199752;PA
Primer Nivel;SEPN Servicio específico de Primer Nivel para Drogodependientes;APARED (ASOCIACION PARA LA PREVENCION, AYUDA Y READAPTACION DE ENFERMOS DROGODEPENDIENTES);aparedsalamanca@hotmail.com;923256913;699545607;;Calle Toledo, 13 bajo;37005;Salamanca;Salamanca;40.9725705;-5.6597221;40.9725705,-5.6597221;SA
Primer Nivel;SEPN Servicio específico de Primer Nivel para Drogodependientes;CÁRITAS SALAMANCA;drog-ambulatorio@caritasalamanca.org;923270041;;923270041;Calle San Claudio, 16;37007;Salamanca;Salamanca;40.9628813207195;-5.6722611883288;40.9628813207195,-5.6722611883288;SA
Primer Nivel;Servicio de mediación, orientación, asesoramiento y motivación en el ámbito Laboral;Unión General de Trabajadores de Castilla y León;eredondo@castyleon.ugt.org;983329889;;983217142;Calle Muro 2, 3º A;47004;Valladolid;Valladolid;41.6472793;-4.7255052;41.6472793,-4.7255052;VA
