Sexo;País de nacimiento;Edad;Exposición al humo de tabaco;Total
Ambos sexos;Total;TOTAL;TOTAL;39.974,1
Ambos sexos;Total;TOTAL;Todos los días;2.992,8
Ambos sexos;Total;TOTAL;Al menos una vez a la semana;1.141,9
Ambos sexos;Total;TOTAL;Menos de una vez por semana;1.239,7
Ambos sexos;Total;TOTAL;Nunca o casi nunca;34.555,7
Ambos sexos;Total;TOTAL;No consta;44,0
Ambos sexos;Total;De 15 a 24 años;TOTAL;4.729,5
Ambos sexos;Total;De 15 a 24 años;Todos los días;463,6
Ambos sexos;Total;De 15 a 24 años;Al menos una vez a la semana;252,0
Ambos sexos;Total;De 15 a 24 años;Menos de una vez por semana;203,9
Ambos sexos;Total;De 15 a 24 años;Nunca o casi nunca;3.809,4
Ambos sexos;Total;De 15 a 24 años;No consta;0,6
Ambos sexos;Total;De 25 a 64 años;TOTAL;26.318,5
Ambos sexos;Total;De 25 a 64 años;Todos los días;2.224,3
Ambos sexos;Total;De 25 a 64 años;Al menos una vez a la semana;823,3
Ambos sexos;Total;De 25 a 64 años;Menos de una vez por semana;906,8
Ambos sexos;Total;De 25 a 64 años;Nunca o casi nunca;22.342,9
Ambos sexos;Total;De 25 a 64 años;No consta;21,1
Ambos sexos;Total;De 65 y más años;TOTAL;8.926,1
Ambos sexos;Total;De 65 y más años;Todos los días;304,8
Ambos sexos;Total;De 65 y más años;Al menos una vez a la semana;66,7
Ambos sexos;Total;De 65 y más años;Menos de una vez por semana;128,9
Ambos sexos;Total;De 65 y más años;Nunca o casi nunca;8.403,4
Ambos sexos;Total;De 65 y más años;No consta;22,3
Ambos sexos;España;TOTAL;TOTAL;34.000,4
Ambos sexos;España;TOTAL;Todos los días;2.649,7
Ambos sexos;España;TOTAL;Al menos una vez a la semana;964,0
Ambos sexos;España;TOTAL;Menos de una vez por semana;1.083,6
Ambos sexos;España;TOTAL;Nunca o casi nunca;29.263,0
Ambos sexos;España;TOTAL;No consta;40,1
Ambos sexos;España;De 15 a 24 años;TOTAL;4.030,5
Ambos sexos;España;De 15 a 24 años;Todos los días;420,2
Ambos sexos;España;De 15 a 24 años;Al menos una vez a la semana;212,1
Ambos sexos;España;De 15 a 24 años;Menos de una vez por semana;189,4
Ambos sexos;España;De 15 a 24 años;Nunca o casi nunca;3.208,8
Ambos sexos;España;De 15 a 24 años;No consta;0,0
Ambos sexos;España;De 25 a 64 años;TOTAL;21.504,9
Ambos sexos;España;De 25 a 64 años;Todos los días;1.938,4
Ambos sexos;España;De 25 a 64 años;Al menos una vez a la semana;695,4
Ambos sexos;España;De 25 a 64 años;Menos de una vez por semana;769,0
Ambos sexos;España;De 25 a 64 años;Nunca o casi nunca;18.084,3
Ambos sexos;España;De 25 a 64 años;No consta;17,8
Ambos sexos;España;De 65 y más años;TOTAL;8.465,0
Ambos sexos;España;De 65 y más años;Todos los días;291,2
Ambos sexos;España;De 65 y más años;Al menos una vez a la semana;56,6
Ambos sexos;España;De 65 y más años;Menos de una vez por semana;125,2
Ambos sexos;España;De 65 y más años;Nunca o casi nunca;7.969,8
Ambos sexos;España;De 65 y más años;No consta;22,3
Ambos sexos;Extranjero;TOTAL;TOTAL;5.973,7
Ambos sexos;Extranjero;TOTAL;Todos los días;343,1
Ambos sexos;Extranjero;TOTAL;Al menos una vez a la semana;177,9
Ambos sexos;Extranjero;TOTAL;Menos de una vez por semana;156,1
Ambos sexos;Extranjero;TOTAL;Nunca o casi nunca;5.292,7
Ambos sexos;Extranjero;TOTAL;No consta;3,9
Ambos sexos;Extranjero;De 15 a 24 años;TOTAL;699,0
Ambos sexos;Extranjero;De 15 a 24 años;Todos los días;43,4
Ambos sexos;Extranjero;De 15 a 24 años;Al menos una vez a la semana;39,9
Ambos sexos;Extranjero;De 15 a 24 años;Menos de una vez por semana;14,5
Ambos sexos;Extranjero;De 15 a 24 años;Nunca o casi nunca;600,6
Ambos sexos;Extranjero;De 15 a 24 años;No consta;0,6
Ambos sexos;Extranjero;De 25 a 64 años;TOTAL;4.813,6
Ambos sexos;Extranjero;De 25 a 64 años;Todos los días;285,9
Ambos sexos;Extranjero;De 25 a 64 años;Al menos una vez a la semana;127,9
Ambos sexos;Extranjero;De 25 a 64 años;Menos de una vez por semana;137,9
Ambos sexos;Extranjero;De 25 a 64 años;Nunca o casi nunca;4.258,6
Ambos sexos;Extranjero;De 25 a 64 años;No consta;3,3
Ambos sexos;Extranjero;De 65 y más años;TOTAL;461,1
Ambos sexos;Extranjero;De 65 y más años;Todos los días;13,7
Ambos sexos;Extranjero;De 65 y más años;Al menos una vez a la semana;10,1
Ambos sexos;Extranjero;De 65 y más años;Menos de una vez por semana;3,7
Ambos sexos;Extranjero;De 65 y más años;Nunca o casi nunca;433,6
Ambos sexos;Extranjero;De 65 y más años;No consta;0,0
Hombres;Total;TOTAL;TOTAL;19.449,1
Hombres;Total;TOTAL;Todos los días;1.543,8
Hombres;Total;TOTAL;Al menos una vez a la semana;618,0
Hombres;Total;TOTAL;Menos de una vez por semana;665,4
Hombres;Total;TOTAL;Nunca o casi nunca;16.589,5
Hombres;Total;TOTAL;No consta;32,4
Hombres;Total;De 15 a 24 años;TOTAL;2.428,1
Hombres;Total;De 15 a 24 años;Todos los días;247,6
Hombres;Total;De 15 a 24 años;Al menos una vez a la semana;140,1
Hombres;Total;De 15 a 24 años;Menos de una vez por semana;86,2
Hombres;Total;De 15 a 24 años;Nunca o casi nunca;1.954,3
Hombres;Total;De 15 a 24 años;No consta;0,0
Hombres;Total;De 25 a 64 años;TOTAL;13.098,5
Hombres;Total;De 25 a 64 años;Todos los días;1.143,6
Hombres;Total;De 25 a 64 años;Al menos una vez a la semana;443,2
Hombres;Total;De 25 a 64 años;Menos de una vez por semana;508,5
Hombres;Total;De 25 a 64 años;Nunca o casi nunca;10.990,8
Hombres;Total;De 25 a 64 años;No consta;12,3
Hombres;Total;De 65 y más años;TOTAL;3.922,5
Hombres;Total;De 65 y más años;Todos los días;152,5
Hombres;Total;De 65 y más años;Al menos una vez a la semana;34,7
Hombres;Total;De 65 y más años;Menos de una vez por semana;70,7
Hombres;Total;De 65 y más años;Nunca o casi nunca;3.644,5
Hombres;Total;De 65 y más años;No consta;20,1
Hombres;España;TOTAL;TOTAL;16.735,0
Hombres;España;TOTAL;Todos los días;1.359,7
Hombres;España;TOTAL;Al menos una vez a la semana;534,1
Hombres;España;TOTAL;Menos de una vez por semana;585,2
Hombres;España;TOTAL;Nunca o casi nunca;14.226,9
Hombres;España;TOTAL;No consta;29,1
Hombres;España;De 15 a 24 años;TOTAL;2.095,2
Hombres;España;De 15 a 24 años;Todos los días;238,6
Hombres;España;De 15 a 24 años;Al menos una vez a la semana;118,3
Hombres;España;De 15 a 24 años;Menos de una vez por semana;82,8
Hombres;España;De 15 a 24 años;Nunca o casi nunca;1.655,5
Hombres;España;De 15 a 24 años;No consta;0,0
Hombres;España;De 25 a 64 años;TOTAL;10.903,3
Hombres;España;De 25 a 64 años;Todos los días;969,7
Hombres;España;De 25 a 64 años;Al menos una vez a la semana;391,2
Hombres;España;De 25 a 64 años;Menos de una vez por semana;431,7
Hombres;España;De 25 a 64 años;Nunca o casi nunca;9.101,8
Hombres;España;De 25 a 64 años;No consta;9,0
Hombres;España;De 65 y más años;TOTAL;3.736,5
Hombres;España;De 65 y más años;Todos los días;151,4
Hombres;España;De 65 y más años;Al menos una vez a la semana;24,6
Hombres;España;De 65 y más años;Menos de una vez por semana;70,7
Hombres;España;De 65 y más años;Nunca o casi nunca;3.469,7
Hombres;España;De 65 y más años;No consta;20,1
Hombres;Extranjero;TOTAL;TOTAL;2.714,1
Hombres;Extranjero;TOTAL;Todos los días;184,1
Hombres;Extranjero;TOTAL;Al menos una vez a la semana;83,9
Hombres;Extranjero;TOTAL;Menos de una vez por semana;80,2
Hombres;Extranjero;TOTAL;Nunca o casi nunca;2.362,6
Hombres;Extranjero;TOTAL;No consta;3,3
Hombres;Extranjero;De 15 a 24 años;TOTAL;333,0
Hombres;Extranjero;De 15 a 24 años;Todos los días;9,0
Hombres;Extranjero;De 15 a 24 años;Al menos una vez a la semana;21,7
Hombres;Extranjero;De 15 a 24 años;Menos de una vez por semana;3,4
Hombres;Extranjero;De 15 a 24 años;Nunca o casi nunca;298,8
Hombres;Extranjero;De 15 a 24 años;No consta;0,0
Hombres;Extranjero;De 25 a 64 años;TOTAL;2.195,2
Hombres;Extranjero;De 25 a 64 años;Todos los días;174,0
Hombres;Extranjero;De 25 a 64 años;Al menos una vez a la semana;52,1
Hombres;Extranjero;De 25 a 64 años;Menos de una vez por semana;76,8
Hombres;Extranjero;De 25 a 64 años;Nunca o casi nunca;1.889,0
Hombres;Extranjero;De 25 a 64 años;No consta;3,3
Hombres;Extranjero;De 65 y más años;TOTAL;186,0
Hombres;Extranjero;De 65 y más años;Todos los días;1,1
Hombres;Extranjero;De 65 y más años;Al menos una vez a la semana;10,1
Hombres;Extranjero;De 65 y más años;Menos de una vez por semana;0,0
Hombres;Extranjero;De 65 y más años;Nunca o casi nunca;174,8
Hombres;Extranjero;De 65 y más años;No consta;0,0
Mujeres;Total;TOTAL;TOTAL;20.525,0
Mujeres;Total;TOTAL;Todos los días;1.449,0
Mujeres;Total;TOTAL;Al menos una vez a la semana;523,9
Mujeres;Total;TOTAL;Menos de una vez por semana;574,3
Mujeres;Total;TOTAL;Nunca o casi nunca;17.966,2
Mujeres;Total;TOTAL;No consta;11,6
Mujeres;Total;De 15 a 24 años;TOTAL;2.301,4
Mujeres;Total;De 15 a 24 años;Todos los días;216,0
Mujeres;Total;De 15 a 24 años;Al menos una vez a la semana;111,9
Mujeres;Total;De 15 a 24 años;Menos de una vez por semana;117,8
Mujeres;Total;De 15 a 24 años;Nunca o casi nunca;1.855,1
Mujeres;Total;De 15 a 24 años;No consta;0,6
Mujeres;Total;De 25 a 64 años;TOTAL;13.220,0
Mujeres;Total;De 25 a 64 años;Todos los días;1.080,7
Mujeres;Total;De 25 a 64 años;Al menos una vez a la semana;380,0
Mujeres;Total;De 25 a 64 años;Menos de una vez por semana;398,3
Mujeres;Total;De 25 a 64 años;Nunca o casi nunca;11.352,1
Mujeres;Total;De 25 a 64 años;No consta;8,8
Mujeres;Total;De 65 y más años;TOTAL;5.003,6
Mujeres;Total;De 65 y más años;Todos los días;152,3
Mujeres;Total;De 65 y más años;Al menos una vez a la semana;32,0
Mujeres;Total;De 65 y más años;Menos de una vez por semana;58,2
Mujeres;Total;De 65 y más años;Nunca o casi nunca;4.758,9
Mujeres;Total;De 65 y más años;No consta;2,2
Mujeres;España;TOTAL;TOTAL;17.265,4
Mujeres;España;TOTAL;Todos los días;1.290,0
Mujeres;España;TOTAL;Al menos una vez a la semana;430,0
Mujeres;España;TOTAL;Menos de una vez por semana;498,4
Mujeres;España;TOTAL;Nunca o casi nunca;15.036,1
Mujeres;España;TOTAL;No consta;11,0
Mujeres;España;De 15 a 24 años;TOTAL;1.935,3
Mujeres;España;De 15 a 24 años;Todos los días;181,6
Mujeres;España;De 15 a 24 años;Al menos una vez a la semana;93,7
Mujeres;España;De 15 a 24 años;Menos de una vez por semana;106,6
Mujeres;España;De 15 a 24 años;Nunca o casi nunca;1.553,4
Mujeres;España;De 15 a 24 años;No consta;0,0
Mujeres;España;De 25 a 64 años;TOTAL;10.601,6
Mujeres;España;De 25 a 64 años;Todos los días;968,7
Mujeres;España;De 25 a 64 años;Al menos una vez a la semana;304,2
